City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
48,Celestun,MX,17-01-22 16:18,20.8667,-90.4,72.46,50,12,7.31
49,Kodiak,US,17-01-22 16:18,57.79,-152.4072,20.71,79,0,5.75
50,Leningradskiy,RU,17-01-22 16:18,69.3833,178.4167,-25.65,92,13,4.85
51,Tarancon,ES,17-01-22 16:18,40.0085,-3.0073,51.1,40,0,1.74
52,Avarua,CK,17-01-22 16:15,-21.2078,-159.775,78.85,83,20,12.66
53,Tres Arroyos,AR,17-01-22 16:18,-38.3739,-60.2798,72.84,25,100,19.04
54,Pochutla,MX,17-01-22 16:18,15.7432,-96.4661,80.82,52,0,4.38
55,Guadalupe Y Calvo,MX,17-01-22 16:18,26.1,-106.9667,54.66,44,51,1.25
56,Dikson,RU,17-01-22 16:18,73.5069,80.5464,9.93,88,100,8.16
57,Paralimni,CY,17-01-22 16:18,35.0375,33.9833,50.88,60,0,1.99
58,Kruisfontein,ZA,17-01-22 16:18,-34.0033,24.7314,72.88,75,8,14.32
59,Airai,TL,17-01-22 16:18,-8.9266,125.4092,61.5,92,100,0.87
60,Olafsvik,IS,17-01-22 16:18,64.8945,-23.7142,43,90,100,33.82
61,Labuhan,ID,17-01-22 16:18,-6.8844,112.2051,79.34,86,100,9.66
62,Yar-Sale,RU,17-01-22 16:18,66.8333,70.8333,12,96,100,7.36
63,Antofagasta,CL,17-01-22 16:18,-23.65,-70.4,72.21,49,27,12.24
64,Hasaki,JP,17-01-22 16:18,35.7333,140.8333,37.8,74,79,7.74
65,Trinidad,BO,17-01-22 16:18,-14.8333,-64.9,91.38,62,40,9.22
66,Hobart,AU,17-01-22 16:16,-42.8794,147.3294,57.06,67,40,8.05
67,Vaini,TO,17-01-22 16:18,-21.2,-175.2,80.78,76,68,16.64
68,East London,ZA,17-01-22 16:18,-33.0153,27.9116,77.94,83,0,6.91
69,Sitka,US,17-01-22 16:18,57.0531,-135.33,33.69,75,20,4.61
70,Isangel,VU,17-01-22 16:18,-19.55,169.2667,76.95,75,62,10.04
71,Anadyr,RU,17-01-22 16:18,64.75,177.4833,-28.52,74,0,8.95
72,Codrington,AU,17-01-22 16:18,-38.2667,141.9667,57.04,66,16,8.95
73,Jamestown,US,17-01-22 16:18,42.097,-79.2353,30.09,70,100,5.99
74,Boat Of Garten,GB,17-01-22 16:18,57.2491,-3.759,44.02,84,11,6.44
75,Mapiri,BO,17-01-22 16:18,-15.25,-68.1667,86.9,52,49,2.48
76,Meulaboh,ID,17-01-22 16:18,4.1363,96.1285,77.22,88,78,3.47
77,Sarangarh,IN,17-01-22 16:18,21.6,83.0833,66.2,44,0,1.99
78,Alizai,PK,17-01-22 16:18,33.5383,70.3462,51.53,57,83,1.16
79,Norman Wells,CA,17-01-22 16:18,65.282,-126.8329,-47.16,59,20,2.3
80,Saskylakh,RU,17-01-22 16:18,71.9167,114.0833,-14.01,94,97,14.16
81,Butaritari,KI,17-01-22 16:15,3.0707,172.7902,82.04,77,63,15.41
82,Tasiilaq,GL,17-01-22 16:18,65.6145,-37.6368,11.68,97,99,2.37
83,Kemijarvi,FI,17-01-22 16:18,66.7131,27.4306,18.95,73,66,16.13
84,Otane,NZ,17-01-22 16:18,-39.8833,176.6333,57,94,20,5.26
85,Beyneu,KZ,17-01-22 16:18,45.3167,55.2,24.51,84,44,4.99
