City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Rocha,UY,-34.4833,-54.3333,92.5,55,25,1.25,scattered clouds
112,Arman,RU,59.7,150.1667,-9.56,81,5,8.1,clear sky
113,Carnarvon,AU,-24.8667,113.6333,87.87,35,15,17.27,few clouds
114,Albacete,ES,38.8333,-2.0,50.18,76,75,6.91,broken clouds
115,Poum,NC,-20.2333,164.0167,80.22,80,45,13.02,scattered clouds
116,Guerrero Negro,MX,27.9769,-114.0611,57.07,85,0,2.95,clear sky
117,Sarangani,PH,5.4033,125.4636,81.64,76,94,13.85,overcast clouds
118,Dunedin,NZ,-45.8742,170.5036,57.79,73,61,11.01,broken clouds
119,Vestmanna,FO,62.1564,-7.1664,47.32,81,100,8.05,overcast clouds
120,Shemursha,RU,54.8866,47.5189,23.68,96,100,12.44,snow
121,Khash,IR,28.2211,61.2158,41.49,26,0,3.24,clear sky
122,General Roca,AR,-39.0333,-67.5833,77.4,13,46,13.29,scattered clouds
123,Lamar,US,33.6668,-95.5836,28.53,79,0,4.61,clear sky
124,Prainha,BR,-1.8,-53.48,89.51,50,96,5.06,overcast clouds
125,Guntur,IN,16.3,80.45,76.89,91,8,6.58,clear sky
126,Necochea,AR,-38.5473,-58.7368,76.03,96,100,8.39,moderate rain
127,Barrow,US,71.2906,-156.7887,-11.18,70,75,20.71,haze
128,Unai,BR,-16.3575,-46.9061,85.01,56,15,4.18,few clouds
129,Thinadhoo,MV,0.5333,72.9333,82.36,69,96,11.45,overcast clouds
130,Saint-Philippe,RE,-21.3585,55.7679,87.39,87,40,17.47,scattered clouds
131,Broken Hill,AU,-31.95,141.4333,78.51,57,99,5.75,light rain
132,Faanui,PF,-16.4833,-151.75,79.75,77,100,12.01,moderate rain
133,Tucuma,BR,-0.1833,-50.05,81.82,79,52,4.09,broken clouds
134,Tarauaca,BR,-8.1614,-70.7656,80.98,69,92,3.22,overcast clouds
135,Cayenne,GF,4.9333,-52.3333,82.44,85,75,3.0,broken clouds
136,Nacala,MZ,-14.5428,40.6728,81.72,78,75,16.11,light intensity drizzle
137,Khatanga,RU,71.9667,102.5,13.15,93,100,14.47,light snow
138,Goderich,CA,43.7501,-81.7165,18.91,79,100,16.11,overcast clouds
139,Andreapol,RU,56.6513,32.2664,14.14,94,100,7.65,overcast clouds
140,Roald,NO,62.5833,6.1333,47.34,93,75,19.57,broken clouds
141,Quatre Cocos,MU,-20.2078,57.7625,84.31,80,14,10.74,few clouds
142,Cape Town,ZA,-33.9258,18.4232,97.27,31,20,14.97,few clouds
143,Vega De Alatorre,MX,20.0333,-96.6333,57.07,84,100,9.08,overcast clouds
144,Bambous Virieux,MU,-20.3428,57.7575,84.45,79,75,16.11,broken clouds
145,Asau,RO,46.4333,26.4,34.39,44,98,3.58,overcast clouds
146,Bandar,ID,2.05,99.75,74.71,96,99,1.97,overcast clouds
147,Djambala,CG,-2.5447,14.7533,80.29,57,100,3.49,overcast clouds
148,Naliya,IN,23.2667,68.8333,64.2,42,0,17.09,clear sky
149,Bredasdorp,ZA,-34.5322,20.0403,96.28,61,32,14.97,scattered clouds
150,Kokkola,FI,63.8385,23.1307,21.92,90,0,4.0,clear sky
151,Kenai,US,60.5544,-151.2583,37.09,98,100,3.44,light rain
152,Luena,AO,-11.7833,19.9167,72.32,72,99,3.62,light rain
153,Nanae,JP,41.8833,140.6833,23.65,85,18,3.31,few clouds
154,Krasnyy Oktyabr,RU,56.1167,38.8833,20.41,95,100,7.14,snow
155,San Patricio,US,28.017,-97.5169,46.26,50,51,14.54,broken clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,0,20.71,clear sky
157,Klaksvik,FO,62.2266,-6.589,49.12,84,100,41.47,overcast clouds
158,Yellowknife,CA,62.456,-114.3525,-31.72,75,40,3.44,scattered clouds
159,Mwingi,KE,-0.9344,38.0601,75.02,53,65,7.09,broken clouds
160,Peniche,PT,39.3558,-9.3811,60.89,57,43,13.35,scattered clouds
161,Dhidhdhoo,MV,6.8833,73.1,81.91,65,97,12.26,overcast clouds
162,Aden,YE,12.7794,45.0367,77.88,70,36,9.75,scattered clouds
163,Mao,ES,39.8885,4.2658,52.36,58,0,11.5,clear sky
164,Glebychevo,RU,60.4387,28.7183,13.51,98,55,6.71,broken clouds
165,Yangambi,CD,0.8102,24.4336,91.9,28,3,2.1,clear sky
166,Campbell River,CA,50.0163,-125.2446,38.73,97,100,2.3,overcast clouds
167,Mount Gambier,AU,-37.8333,140.7667,69.71,56,99,5.75,overcast clouds
168,Henties Bay,NA,-22.116,14.2845,73.85,80,100,11.77,overcast clouds
169,Kyzyl-Suu,KG,42.3414,78.0056,18.9,53,16,9.33,few clouds
170,San Cristobal,VE,7.7669,-72.225,71.78,43,69,4.61,broken clouds
171,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,10.36,scattered clouds
172,Zhicheng,CN,30.2956,111.5047,37.56,88,100,2.46,light rain
173,Kavieng,PG,-2.5744,150.7967,82.17,73,93,4.29,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,84.97,66,7,11.74,clear sky
175,Galle,LK,6.0367,80.217,77.05,73,63,4.0,broken clouds
176,Mallapuram,IN,11.9667,78.25,74.93,35,0,2.26,clear sky
177,Udarnyy,RU,54.3409,42.8611,18.63,95,98,6.46,overcast clouds
178,Bud,US,39.447,-86.1758,19.81,77,92,10.6,overcast clouds
179,Santiago,CL,-33.4569,-70.6483,75.29,37,0,5.75,clear sky
180,Anshun,CN,26.25,105.9333,50.32,80,22,8.08,few clouds
181,Okha,RU,53.5739,142.9478,-5.28,92,20,12.08,few clouds
182,Hilo,US,19.7297,-155.09,67.24,84,0,0.0,clear sky
183,Waw,SS,7.7029,27.9953,90.95,14,79,6.82,broken clouds
184,Kalemie,CD,-5.9475,29.1947,77.76,74,66,3.49,light rain
185,Port Hardy,CA,50.6996,-127.4199,36.75,100,100,3.44,overcast clouds
186,Rafsanjan,IR,30.4067,55.9939,42.15,24,0,3.44,clear sky
187,Khorixas,NA,-20.3667,14.9667,91.42,21,95,2.33,overcast clouds
188,Stromness,GB,58.965,-3.296,52.05,91,100,30.33,overcast clouds
189,Katsuura,JP,35.1333,140.3,45.19,66,82,3.62,broken clouds
