City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Nacala,MZ,81.72,light intensity drizzle,-14.5428,40.6728,Nacala Plaza Business Design Hotel
141,Quatre Cocos,MU,84.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
144,Bambous Virieux,MU,84.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
147,Djambala,CG,80.29,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
156,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
159,Mwingi,KE,75.02,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
161,Dhidhdhoo,MV,81.91,overcast clouds,6.8833,73.1,Dhidhoo beach
162,Aden,YE,77.88,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
173,Kavieng,PG,82.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
174,Cidreira,BR,84.97,clear sky,-30.1811,-50.2056,Hotel Castelo
175,Galle,LK,77.05,broken clouds,6.0367,80.217,Amangalla
179,Santiago,CL,75.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
184,Kalemie,CD,77.76,light rain,-5.9475,29.1947,Mahobilali
190,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
191,Champasak,LA,77.0,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
193,Acapulco,MX,77.27,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
196,Watsa,CD,85.69,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
199,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
200,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
201,Samarai,PG,81.41,broken clouds,-10.6167,150.6667,Nuli Sapi
204,Katherine,AU,75.52,moderate rain,-14.4667,132.2667,Pine Tree Motel
213,Porto Walter,BR,84.69,heavy intensity rain,-8.2686,-72.7439,Secretaria de saúde
215,Kirakira,SB,80.38,overcast clouds,-10.4544,161.9205,SanBiz Lodge
220,Caravelas,BR,84.92,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
230,Sampit,ID,75.29,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
231,Goiatuba,BR,83.71,scattered clouds,-18.0125,-49.3547,Hotel Barrocos
247,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
249,Champerico,GT,88.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
251,Saldanha,ZA,76.78,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
253,Montecristo,CO,84.51,few clouds,8.2971,-74.4733,Casa Hotel Doña Mery
255,Sao Raimundo Das Mangabeiras,BR,88.16,clear sky,-7.0219,-45.4811,Hotel Tropical
261,Plettenberg Bay,ZA,79.74,broken clouds,-34.0527,23.3716,Thanda Vista B&B
265,Lazaro Cardenas,MX,77.92,broken clouds,17.9583,-102.2,quinta antigua
275,Cockburn Town,TC,78.53,clear sky,21.4612,-71.1419,Osprey Beach Hotel
277,Moroni,KM,84.2,light rain,-11.7022,43.2551,Hotel les Arcades
278,Brokopondo,SR,80.83,overcast clouds,4.75,-55.1667,Matu Island
282,Kabompo,ZM,75.61,light rain,-13.5927,24.2008,Big Tree
285,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
287,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
295,Baculin,PH,76.53,moderate rain,7.4525,126.5842,Baculin Cove Beach Resort
297,Santa Ines,BR,89.85,few clouds,-3.6667,-45.38,Palace hotel
